Tipo,Evento_Desemparelhado,Data/Hora Evento,Sequência,Tipo Mensagem,Observação
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:03:47,387,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:05:07, seq: 388)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:03:47,387,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:05:07,388,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:05:07,388,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:19:57, seq: 393)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:19:57,393,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:22:29, seq: 394)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:19:57,393,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:22:29,394,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:25:22, seq: 396)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:22:29,394,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:25:22,396,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:25:22,396,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:26:04, seq: 397)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:26:04,397,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:26:04,397,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:27:54, seq: 399)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:27:54,399,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:27:54,399,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:28:40, seq: 400)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:28:40,400,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:28:40,400,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:29:34, seq: 401)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:29:34,401,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:30:17, seq: 402)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:29:34,401,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:30:17,402,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:30:49, seq: 404)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:30:17,402,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:30:49,404,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:31:35, seq: 405)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:30:49,404,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:31:35,405,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:31:35,405,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:34:21, seq: 406)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:34:21,406,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:35:10, seq: 408)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:34:21,406,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:35:10,408,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:36:00, seq: 409)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:35:10,408,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:36:00,409,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:36:00,409,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:36:51, seq: 410)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:36:51,410,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:36:51,410,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:37:19, seq: 411)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:37:19,411,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:48:07, seq: 415)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:37:19,411,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:48:07,415,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:50:57, seq: 417)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:48:07,415,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:50:57,417,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:51:43, seq: 418)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:50:57,417,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:51:43,418,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:52:03, seq: 419)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:51:43,418,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:52:03,419,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:52:22, seq: 420)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:52:03,419,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:52:22,420,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:52:22,420,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 10:53:33, seq: 422)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 10:53:33,422,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 10:53:33,422,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:01:39, seq: 425)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:01:39,425,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:01:39,425,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:06:48, seq: 433)"
Ignição,IGF sem IGN anterior,2025-07-28 11:03:25,427,IGF,IGF encontrado sem IGN correspondente anterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:06:48,433,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:06:48,433,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:15:16, seq: 436)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:15:16,436,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:18:53, seq: 438)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:15:16,436,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:18:53,438,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:20:55, seq: 439)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:18:53,438,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:20:55,439,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:21:14, seq: 440)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:20:55,439,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:21:14,440,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:21:14,440,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:23:08, seq: 442)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:23:08,442,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:24:33, seq: 443)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:23:08,442,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:24:33,443,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:26:00, seq: 444)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:24:33,443,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:26:00,444,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:26:19, seq: 445)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:26:00,444,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:26:19,445,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:26:38, seq: 447)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:26:19,445,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:26:38,447,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:27:35, seq: 448)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:26:38,447,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:27:35,448,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:27:35,448,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:30:20, seq: 449)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:30:20,449,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:31:12, seq: 451)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:30:20,449,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:31:12,451,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:31:39, seq: 452)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:31:12,451,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:31:39,452,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:31:39,452,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:34:39, seq: 454)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:34:39,454,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:35:17, seq: 455)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:34:39,454,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:35:17,455,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:42:13, seq: 457)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:35:17,455,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:42:13,457,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:42:13,457,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:43:41, seq: 459)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:43:41,459,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:43:41,459,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:44:03, seq: 460)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:44:03,460,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:44:03,460,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:45:42, seq: 461)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:45:42,461,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:45:42,461,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:47:34, seq: 463)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:47:34,463,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:47:34,463,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:50:02, seq: 464)"
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:50:02,464,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 11:59:32, seq: 468)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:50:02,464,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 11:59:32,468,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:00:34, seq: 469)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 11:59:32,468,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 12:00:34,469,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:17:25, seq: 481)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 12:00:34,469,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 12:17:25,481,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:19:28, seq: 483)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 12:17:25,481,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
Velocidade,Excessos consecutivos - possível perda de Retorno,2025-07-28 12:19:28,483,Excesso de velocidade,"Excesso seguido de outro Excesso (2025-07-28 12:25:14, seq: 485)"
Velocidade,Excesso sem Retorno posterior,2025-07-28 12:19:28,483,Excesso de velocidade,Excesso de velocidade sem Retorno posterior
